GRate,diet
9.7741,Natural
10.2931,Natural
10.0474,Natural
10.0808,Natural
9.3106,Natural
10.4414,Natural
9.846,Natural
10.2709,Natural
9.5243,Natural
9.5238,Natural
9.9583,Natural
9.7703,Natural
10.1506,Natural
10.0985,Natural
10.261,Natural
9.2053,Natural
10.9352,Natural
11.6317,Natural
9.685,Natural
9.7422,Natural
11.2128,Natural
10.5183,Natural
10.3186,Natural
8.6495,Natural
9.7894,Natural
9.9268,Natural
10.9515,Natural
10.0512,Natural
9.6838,Natural
9.7254,Natural
9.5585,Artificial
10.657,Artificial
10.2424,Artificial
9.4472,Artificial
10.6712,Artificial
10.2044,Artificial
10.4935,Artificial
9.966,Artificial
9.782,Artificial
11.0716,Artificial
9.1151,Artificial
10.0486,Artificial
10.925,Artificial
9.8355,Artificial
9.6948,Artificial
9.0871,Artificial
10.4186,Artificial
8.0696,Artificial
9.8316,Artificial
9.2525,Artificial
8.8289,Artificial
9.4892,Artificial
10.7487,Artificial
10.7183,Artificial
8.9992,Artificial
8.9554,Artificial
9.5803,Artificial
10.4603,Artificial
7.3952,Artificial
10.2763,Artificial
